"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,1.49485350306961,5.06644998904732
2,2.08466418842107,5.10977380551951
3,2.34523554268293,5.49765116338436
4,2.60435568252542,5.94671737963403
5,3.06724752751574,6.3024436773457
6,3.29477497201627,6.52739185767136
7,3.49025446736909,6.65516300522095
8,3.61427008082237,6.74436120435356
9,3.71286536765888,6.77481656083974
10,3.80406200571105,6.79798752756689
