"Pass []","re(Mode(1)) [g]"
1,34.8926339944397
2,37.6674021153165
3,39.0496108123133
4,39.5233874830763
5,39.8321381507857
6,40.0018150714278
7,40.1002527852725
8,40.1788553510328
9,40.2180478502038
10,
11,
12,
